volatility,max_drawdown,hurst,recovery_time,trend_return,trend_stability,liquidity,gap_frequency,noise_ratio,ticker,improvement,dca_final,va_final,dca_invested,va_invested,pred_improvement,rank
0.3157355387478478,-0.41674178470404083,0.43249798076047674,1.4455852156057496,0.11574745666540145,0.6963499233560702,17.01846027292436,0.11292962356792144,0.9186573884091318,7203.T,0.0949299904158657,7983926.200143236,6725637.731693888,6000000.0,4616170.656568909,0.09337758,★★★☆☆
0.3328386875344031,-0.3978496060864913,0.3881117482240412,1.7796030116358659,0.11003446296659967,0.6776946798957686,16.58446775669739,0.11783960720130933,0.9287075476688972,6758.T,0.08286793059150213,8435126.204700582,7079820.914614647,6000000.0,4650572.783764303,0.083103016,★★★☆☆
0.5443747703457948,-0.5079229840227508,0.4980479958496168,0.29568788501026694,0.2337910118950134,0.7331304242049875,17.643604000005922,0.2569558101472995,0.9232474668696834,9984.T,0.2558118715694118,16960241.4120772,13466692.00308696,6000000.0,3793635.178608647,0.25572672,★★★★★
0.31285950792948286,-0.3184679076583152,0.40110662799731306,0.27652292950034224,0.4090121715337951,0.9765806511720172,17.774777790359334,0.088379705400982,0.9281956491869566,8306.T,0.733832486199181,20882750.909039095,9983868.944756046,6000000.0,1654456.2138046895,0.7335674,★★★★★
0.16817684825834536,-0.2370139725970876,0.4416670727930425,1.3141683778234086,0.09205643203239891,0.4438849678278123,18.833187673469464,0.013911620294599018,0.9450682135159904,9432.T,0.008034942509591783,6509800.993235398,6403360.951242293,6000000.0,5854852.179153721,0.009125946,★☆☆☆☆
0.1913033311629319,-0.19388794567062817,0.45574209906093216,0.15879534565366188,0.12908333607201294,0.8302111911241083,15.250166658159337,0.018821603927986905,0.9256419661370331,4502.T,0.05949321887513114,8918810.662249606,6961239.014517784,6000000.0,4420105.85450262,0.05939895,★★☆☆☆
0.37742516642776713,-0.3870030856248241,0.3715505679987426,0.29021218343600275,0.31639902555304955,0.9376153711199524,16.361355584264125,0.1530278232405892,0.9284375227548923,6501.T,0.6644819231418911,15959902.803471658,8065372.486806909,6000000.0,1821655.9418823104,0.6645515,★★★★★
0.3150805892080935,-0.43118070134419806,0.43382029118807325,1.3141683778234086,0.02514422603595165,0.16765512241156955,15.639350082060595,0.09656301145662848,0.9189180189773181,6902.T,0.041768911022782414,6051772.561974949,6256615.878107458,6000000.0,5954382.807793268,0.04189264,★☆☆☆☆
0.4707099208125754,-0.5584561892175421,0.49417920900271256,0.7693360711841205,0.28699082318087044,0.6456592384791704,15.074965655557888,0.24386252045826515,0.9286228504143748,8035.T,0.2294929272941304,16190147.292711303,13883864.964100137,6000000.0,4184897.2246593484,0.22941323,★★★★☆
0.41572366525205556,-0.49768679843758257,0.5485387066510249,0.8733744010951403,0.1714798689742209,0.21752124223573144,15.642717766237338,0.14332514332514332,0.946482612329832,6981.T,0.13179103043061544,14416793.537814315,15599032.555162672,6000000.0,5736063.9965635035,0.13164307,★★★★☆
0.3270636673996872,-0.5401014019501571,0.47101238904209825,0.09582477754962354,0.0878034412957838,0.720473894414075,15.444457132922517,0.1072013093289689,0.9252792523844744,7974.T,0.05370477886343705,6901568.100457981,6625787.9656160455,6000000.0,5466659.912181209,0.054478355,★★☆☆☆
0.34191622938606964,-0.4706621303304297,0.4009735667673435,0.944558521560575,0.11832891694044766,0.60365814798614,15.59938922172679,0.1309328968903437,0.9179250888706965,4063.T,0.10831659515966664,8215807.499700981,6698759.887944562,6000000.0,4413992.291709547,0.10906576,★★★☆☆
0.41517161089232896,-0.5805514910528453,0.5255465691738854,1.2210814510609171,0.16700618421461122,0.46365311732433456,15.284513531611925,0.18985270049099837,0.9348147859492065,6098.T,0.17302826873113167,12380702.543949118,10495004.520597246,6000000.0,4335908.538505763,0.17321514,★★★★☆
0.1986075531539657,-0.1677280687622988,0.4103805545868282,0.39698836413415467,0.14664956250748587,0.9010511727787329,15.905026308962638,0.027004909983633387,0.9295793214963813,9433.T,0.052404232638593916,8588934.158970235,6650196.232339091,6000000.0,4414320.393717461,0.05243529,★★☆☆☆
